Time (s),Altitude (m),Radius (m),Radial Velocity (m/s),True Anomoly (rad),Angular Velocity (rad/s)
0.0,407000.0,6785100.0,0.0,0.0,0.0011296101909869048
2000.0,406705.5648879092,6784805.564887909,-0.16056078451769387,2.2592982567915643,0.001129707616495417
4000.0,406770.7444568584,6784870.744456858,0.1918256050836829,4.518734070590876,0.0011296852894483913
6000.0,406957.99337458983,6785057.99337459,-0.0954057642300255,6.778006705375474,0.0011296223202307129
8000.0,406630.553896524,6784730.553896524,-0.08272297119533104,9.03736130344293,0.0011297307369453314
10000.0,406835.0701582264,6784935.070158226,0.18831678879896788,11.296787050687096,0.0011296620100351748
12000.0,406878.1801491128,6784978.180149113,-0.1687498249622311,13.556052624940055,0.0011296470373245385
14000.0,406594.5791855771,6784694.579185577,0.014046918660353762,15.815462771298206,0.0011297408566593268
16000.0,406887.53625833895,6784987.536258339,0.13873990129001998,18.07486148824914,0.001129642679509492
18000.0,406774.4514070805,6784874.4514070805,-0.2025056017482748,20.334142338205446,0.0011296797176830002
20000.0,406600.89093073644,6784700.890930736,0.10644067152803864,22.593596569853208,0.0011297368928471446
22000.0,406910.1091130506,6785010.109113051,0.055003595650045436,24.852960498980643,0.001129633302299357
24000.0,406666.3142926423,6784766.314292642,-0.18851616292814194,27.112278020254095,0.0011297138661093631
26000.0,406642.61342190113,6784742.613421901,0.1723518221404615,29.371756965476965,0.0011297211355756193
28000.0,406892.039558026,6784992.039558026,-0.042786575413544255,31.631089361320775,0.0011296374571836017
30000.0,406574.3620753186,6784674.362075319,-0.13015229522148472,33.89045880350099,0.001129742624663226
32000.0,406704.2919511283,6784804.291951128,0.19592053401194198,36.149939866653,0.001129698732190454
34000.0,406832.36137461197,6784932.361374612,-0.13107375634170795,38.40925425256567,0.0011296554660012413
36000.0,406515.3194058277,6784615.319405828,-0.041477726668859426,40.668681048361016,0.0011297604228751562
38000.0,406765.79146285076,6784865.791462851,0.17155309692203605,42.928143798131615,0.0011296763882271798
40000.0,406740.0114912586,6784840.011491259,-0.18878652695911408,45.18746066751606,0.0011296843536141449
42000.0,406497.8901263783,6784597.890126378,0.056181995309366385,47.44693921246984,0.0011297643613669309
44000.0,406806.96786653064,6784906.967866531,0.10518481519420317,49.70637034844838,0.0011296608114356804
46000.0,406631.8283451842,6784731.828345184,-0.2020647787474733,51.96571226399662,0.0011297185136846441
48000.0,406520.907109756,6784620.907109756,0.13941518594674554,54.22522719000406,0.0011297548287365724
50000.0,406812.5256274054,6784912.525627405,0.012604311640027422,56.48462366904612,0.0011296570945624647
52000.0,406528.3803250948,6784628.380325095,-0.16761027245660493,58.74400991532569,0.001129751096943957
54000.0,406573.5146816317,6784673.514681632,0.18816178339484307,61.00353977772207,0.0011297354408053937
56000.0,406775.7370863063,6784875.737086306,-0.08376587893416845,63.26290958495194,0.001129667477590658
58000.0,406449.16839892603,6784549.168398926,-0.09389564101677865,65.5223514348789,0.0011297756085348661
60000.0,406637.51215234865,6784737.512152349,0.190821369270609,67.78187396965491,0.0011297122594776956
62000.0,406700.17021301016,6784800.17021301,-0.16087456863101127,70.0412341788431,0.00112969077282371
64000.0,406407.75434772857,6784507.754347729,0.0014232393596141897,72.30073224267433,0.0011297875310115535
66000.0,406692.2416838994,6784792.241683899,0.14681714841434548,74.56022964030505,0.0011296921642736163
68000.0,406598.5938740587,6784698.593874059,-0.20024297293172386,76.81960227456908,0.0011297227290578823
70000.0,406408.64659098536,6784508.646590985,0.09544193689643471,79.07914637591593,0.0011297853623741798
72000.0,406719.18566701654,6784819.185667017,0.06665207798581715,81.33860955030279,0.001129681321269246
74000.0,406489.93846804835,6784589.938468048,-0.19239558117265532,83.5980163707863,0.0011297570428161058
76000.0,406446.3267614655,6784546.3267614655,0.16559253560162585,85.85758795053697,0.0011297709407088042
78000.0,406706.4065871937,6784806.406587194,-0.030365731660545847,88.11701873400682,0.0011296837051871897
80000.0,406394.97568499483,6784494.975684995,-0.13927942600993337,90.37647597330174,0.0011297867964016083
82000.0,406506.18957059085,6784606.189570591,0.19506603901116712,92.63605261576798,0.0011297491308287924
84000.0,406651.69703620113,6784751.697036201,-0.1209223918945458,94.89546332120156,0.0011297000511202241
86000.0,406331.03447794635,6784431.034477946,-0.05361236563103323,97.1549777845336,0.0011298062177686231
88000.0,406568.5182296373,6784668.518229637,0.17672311240798444,99.41453855006594,0.0011297264995258935
90000.0,406562.7419780167,6784662.741978017,-0.18327964527892754,101.67394901683448,0.001129727800582418
92000.0,406308.1142846076,6784408.114284608,0.04397727276068345,103.93351646820587,0.001129811975794779
94000.0,406612.9115428487,6784712.911542849,0.11505272315585677,106.19304693829025,0.0011297098407391276
96000.0,406455.539779434,6784555.539779434,-0.20247436080712505,108.45247973986629,0.0011297616266571144
98000.0,406326.282206133,6784426.282206133,0.13005290984948864,110.71208591089274,0.001129804047942121
100000.0,406623.347608394,6784723.347608394,0.024856196772123054,112.97158163381842,0.0011297044894890526
102000.0,406350.4409454316,6784450.440945432,-0.17392304646639045,115.23105666989603,0.00112979475229496
104000.0,406375.7201610645,6784475.7201610645,0.18387803704359545,117.49068070219458,0.001129785704655652
106000.0,406591.7944804793,6784691.794480479,-0.07212608857539993,119.75014835072882,0.0011297131201949422
108000.0,406267.29437064007,6784367.29437064,-0.10443070917814799,122.0096780994122,0.0011298205664254024
110000.0,406439.1729847621,6784539.172984762,0.19257467282613921,124.26929752444157,0.001129762693399451
112000.0,406520.54176066443,6784620.541760664,-0.15265063102878526,126.52875314908647,0.001129734970713194
114000.0,406220.68492826074,6784320.684928261,-0.010797728965069328,128.78833960146062,0.001129834210560086
116000.0,406495.8247568328,6784595.824756833,0.15398585312240232,131.0479358224171,0.0011297419469271832
118000.0,406421.2679544538,6784521.267954454,-0.19723493725829358,133.30740115341627,0.0011297661526478114
120000.0,406216.36984936334,6784316.369849363,0.08444731337652726,135.56703537840716,0.0011298337665804391
122000.0,406526.70506824553,6784626.7050682455,0.07753080463643136,137.8265980831614,0.0011297297826124313
124000.0,406312.446987547,6784412.446987547,-0.19528539684016313,140.08609515511498,0.0011298005141984972
126000.0,406249.88300676737,6784349.883006767,0.15838423308740085,142.34575946396177,0.0011298207221475576
128000.0,406518.99624520633,6784618.996245206,-0.018398505931197573,144.60528912572607,0.0011297304685544375
130000.0,406214.83262938354,6784314.832629384,-0.1473530491181911,146.8648350332019,0.0011298311432870198
132000.0,406307.70921904035,6784407.70921904,0.1933429913103809,149.1245072481203,0.0011297995793245583
134000.0,406469.109622919,6784569.109622919,-0.11073492016937497,151.3840149949656,0.0011297451998085652
136000.0,406146.44644648954,6784246.44644649,-0.06488693806851344,153.64361781275537,0.0011298520368567063
138000.0,406370.46967866924,6784470.469678669,0.18079178712622748,155.90327656062578,0.0011297767928719561
140000.0,406383.6394725349,6784483.639472535,-0.1772907144582533,158.16278152832743,0.0011297717808859344
142000.0,406118.2766724881,6784218.276672488,0.032262858441290565,160.4224383657768,0.0011298595341849135
144000.0,406417.7691195067,6784517.769119507,0.12390089439355488,162.68206821481618,0.0011297591553294651
146000.0,406277.6787061468,6784377.678706147,-0.2021161522149039,164.94159285478483,0.001129805186087435
148000.0,406131.62907835655,6784231.629078357,0.12070242727865753,167.2012905582028,0.0011298532000671956
150000.0,406432.6397494171,6784532.639749417,0.03629290398354315,169.4608857897717,0.001129752317146213
152000.0,406171.3062587017,6784271.306258702,-0.17918246475511443,171.72045059169756,0.001129838728454829
154000.0,406177.83960636985,6784277.83960637,0.17910352773645344,173.98016887783874,0.0011298359207342055
156000.0,406406.10517386906,6784506.105173869,-0.06090249936278256,176.23973483700823,0.0011297592674123112
158000.0,406084.70384618733,6784184.703846187,-0.11402737923549261,178.49935331799256,0.001129865685721152
160000.0,406240.3167581335,6784340.3167581335,0.19342009295766766,180.7590696715676,0.0011298132230335414
162000.0,406339.0301286774,6784439.030128677,-0.1442639388547788,183.01862148964446,0.0011297797183842217
164000.0,406033.27178916615,6784133.271789166,-0.022330111441362748,185.27829698595778,0.0011298809274771858
166000.0,406298.49281373806,6784398.492813738,0.16022454706808972,187.53799209942954,0.0011297919576311317
168000.0,406242.3089722963,6784342.308972296,-0.19368995525659863,189.79755100178252,0.0011298100425305119
170000.0,406023.8429518435,6784123.8429518435,0.07367587392891425,192.05727578502677,0.0011298821771300364
172000.0,406332.93051453214,6784432.930514532,0.0876500292714723,194.31693825829345,0.0011297785979111686
174000.0,406133.69896656275,6784233.698966563,-0.19740166668032588,196.57652646736702,0.0011298443263849723
176000.0,406053.1878948007,6784153.187894801,0.15090198066727337,198.83628372818254,0.0011298705104267064
178000.0,406329.90902416036,6784429.90902416,-0.006882196767875192,201.09591273316778,0.0011297777130647036
