Time (s),Altitude (m),Radius (m),Radial Velocity (m/s),True Anomoly (rad),Angular Velocity (rad/s)
0.0,409000.0,6787100.0,0.0,0.0,0.001129110920953563
2000.0,408705.8419511579,6786805.841951158,-0.16031854743281293,2.258299630998863,0.0011292082151764084
4000.0,408771.28560676984,6786871.28560677,0.19192591337373752,4.516736549898056,0.0011291858495776808
6000.0,408959.24490680173,6787059.244906802,-0.09482571123879965,6.775010236238495,0.0011291227230328148
8000.0,408632.2414804585,6786732.2414804585,-0.08301365296897228,9.033365340680987,0.0011292309475166849
10000.0,408836.3209438231,6786936.320943823,0.1886377348397376,11.291791788631558,0.0011291624494963494
12000.0,408881.20342704374,6786981.203427044,-0.16792948577667338,13.550057790480208,0.0011291469307031605
14000.0,408597.164497287,6786697.164497287,0.013035399720943293,15.808467598312829,0.001129240859465079
16000.0,408889.67941759527,6786989.679417595,0.13983420312776368,18.066866815083973,0.0011291429346991923
18000.0,408779.3463775795,6786879.3463775795,-0.20198879614500975,20.325147226478833,0.0011291790626049491
20000.0,408603.8945441246,6786703.894544125,0.10502509086655636,22.583600500920134,0.001129236857932726
22000.0,408913.7941544857,6787013.794154486,0.05711050757431537,24.8419646769429,0.0011291331498818954
24000.0,408672.834633532,6786772.834633532,-0.18902813731910173,27.10028062640421,0.0011292127435526395
26000.0,408645.75074642804,6786745.750746428,0.17122104183878908,29.35875836589222,0.0011292211664532376
28000.0,408897.9083634261,6786997.908363426,-0.03991568011086289,31.61709051780148,0.0011291366737187036
30000.0,408581.8320232043,6786681.832023204,-0.13210928835347427,33.8754572376699,0.00112924126359418
32000.0,408707.7834355496,6786807.78343555,0.19601748380465336,36.133937180574215,0.0011291987605046383
34000.0,408840.8317506183,6786940.831750618,-0.1282692958991764,38.392250392769625,0.0011291539023428412
36000.0,408522.94837062154,6786622.948370622,-0.04471103604214826,40.65067355471534,0.0011292590946153608
38000.0,408770.28064306173,6786870.280643062,0.1734226178764605,42.9091353870634,0.001129176199898753
40000.0,408751.0507874135,6786851.0507874135,-0.18697951688257583,45.167449754342805,0.001129182012668281
42000.0,408505.11218094267,6786605.112180943,0.05240282305562569,47.42592415760008,0.0011292632646231664
44000.0,408813.3533914061,6786913.353391406,0.10882980955120354,49.684354385422196,0.0011291601025682884
46000.0,408644.8284534523,6786744.828453452,-0.20208715063859883,51.94269225609157,0.0011292155939831774
48000.0,408527.4563397793,6786627.456339779,0.1361406069414609,54.201203067327256,0.0011292540620673342
50000.0,408821.81576858554,6786921.815768586,0.017676890896325438,56.45959823395772,0.0011291555210272276
52000.0,408542.37268517073,6786642.372685171,-0.17016328294794125,58.71797882267604,0.0011292479220714497
54000.0,408579.59756091237,6786679.597560912,0.18668529956980795,60.97650510643687,0.0011292349428728653
56000.0,408788.5506176492,6786888.550617649,-0.07840587955464255,63.234872619336095,0.001129164823177204
58000.0,408463.0336475605,6786563.0336475605,-0.09864306296505755,65.49330753738909,0.0011292725571165011
60000.0,408644.16824915446,6786744.168249154,0.19200015172186205,67.75182714105472,0.001129211687235281
62000.0,408716.4776887931,6786816.477688793,-0.1566573872649509,70.0101834480577,0.001129187037848585
64000.0,408420.47313803714,6786520.473138037,-0.00464876911536752,72.2686739301486,0.0011292849517597998
66000.0,408700.70814891905,6786800.708148919,0.15091489876665828,74.5271689103556,0.0011291911038766765
68000.0,408617.73675918207,6786717.736759182,-0.19848350810113607,76.78553563223805,0.0011292181262942372
70000.0,408419.71069337334,6786519.710693373,0.08950408174225367,79.04407223824397,0.0011292834349941896
72000.0,408730.82827990036,6786830.8282799,0.07324530376827272,81.3025330015763,0.0011291793115397455
74000.0,408510.70410318393,6786610.704103184,-0.1940390314873679,83.56093176911513,0.001129251974138093
76000.0,408455.9094459852,6786555.909445985,0.1614912020911831,85.81949662160247,0.0011292696167020382
78000.0,408722.3524566004,6786822.3524566,-0.02256301689057725,88.07792420308192,0.0011291803614119239
80000.0,408415.69392489735,6786515.693924897,-0.14443180274817444,90.33637155350924,0.0011292818211329006
