Time (s),Altitude (m),Radius (m),Radial Velocity (m/s),True Anomoly (rad),Angular Velocity (rad/s)
0.0,409000.0,6787100.0,0.0,0.0,0.001129110920953563
2000.0,408706.54245606065,6786806.542456061,-0.1594937230006115,2.25829958556365,0.0011292080656727511
4000.0,408773.6983831711,6786873.698383171,0.19250781541401138,4.516735692530635,0.001129185214405399
6000.0,408962.080264939,6787062.080264939,-0.09476115868399791,6.775007987819025,0.0011291220308607584
8000.0,408636.12725473195,6786736.127254732,-0.08203959085398141,9.033361554760322,0.001129229989525863
10000.0,408841.7701138044,6786941.770113804,0.18895694606584568,11.291785568241007,0.001129161055502608
12000.0,408886.86724125687,6786986.867241257,-0.16767643549041358,13.550048787083654,0.0011291455488933364
14000.0,408604.2932307236,6786704.293230724,0.014014201200319255,15.80845551539258,0.0011292390740551257
16000.0,408898.0026007658,6786998.002600766,0.13995705736285394,18.066850743293788,0.001129140836180644
18000.0,408787.9811801035,6786887.9811801035,-0.20148020168517547,20.325126987037105,0.0011291769439578478
20000.0,408614.2455998771,6786714.245599877,0.1059426138066724,22.583575586722624,0.0011292342522658543
22000.0,408924.96410746686,6787024.964107467,0.05712701795357431,24.84193425220228,0.0011291303561419908
24000.0,408684.55270125903,6786784.552701259,-0.18827453044503498,27.100244605787793,0.0011292098509413195
26000.0,408659.2537390543,6786759.253739054,0.17197493738765632,29.358716051164446,0.0011292177642671989
28000.0,408911.9382494036,6787011.938249404,-0.03989930084165247,31.61704121458343,0.0011291331805850999
30000.0,408596.71941179875,6786696.719411799,-0.13120099266595406,33.87540085399154,0.0011292375686426544
32000.0,408724.3927067304,6786824.39270673,0.1965319029877759,36.13387287317934,0.0011291945773051976
34000.0,408857.7403716324,6786957.740371632,-0.12814804559301432,38.39217765310283,0.0011291497037457972
36000.0,408540.9945657896,6786640.99456579,-0.04376955167264109,40.650592220093344,0.0011292546011258421
38000.0,408789.8772699861,6786889.877269986,0.17378396705627214,42.90904456349534,0.001129171275537029
40000.0,408770.9118502578,6786870.911850258,-0.18672381776239005,45.1673490649921,0.0011291770842622177
42000.0,408526.3266457245,6786626.3266457245,0.053369199183511296,47.42581333167227,0.0011292579697902484
44000.0,408835.9483333146,6786935.948333315,0.1090805382521757,49.684232509588824,0.0011291544336256747
46000.0,408667.67582890484,6786767.675828905,-0.20172875829246123,51.94255906069834,0.0011292099247012773
48000.0,408551.8471929068,6786651.847192907,0.13704968695740985,54.201058168532604,0.001129247963560547
50000.0,408847.3383805221,6786947.338380522,0.017813881628009905,56.45944075546124,0.0011291491311846366
52000.0,408568.26654752996,6786668.26654753,-0.16961205008536506,58.71780857600436,0.0011292414921411605
54000.0,408607.18278028443,6786707.182780284,0.18753148103927006,60.97632155570839,0.0011292280350742071
56000.0,408816.9500819519,6786916.950081952,-0.0783576221328958,63.2346749679625,0.0011291577294752547
58000.0,408491.9779868806,6786591.977986881,-0.09792807524869276,65.49309567839431,0.0011292653655265953
60000.0,408674.93608949985,6786774.9360895,0.19274032698868152,67.75160038143508,0.0011292039743761352
62000.0,408747.76792282145,6786847.767922821,-0.15668836908372283,70.00994107799053,0.0011291792357756595
64000.0,408452.57639459055,6786552.576394591,-0.003729674863817043,72.26841588619361,0.001129276962803962
