Time (s),Altitude (m),Radius (m),Radial Velocity (m/s),True Anomoly (rad),Angular Velocity (rad/s)
0.0,408250.0,6786350.0,0.0,0.0,0.001129298104108984
2000.0,407956.44797352515,6786056.447973525,-0.1595338247911551,2.25867398613637,0.0011293952968087187
4000.0,408023.5863284664,6786123.586328466,0.1924541733243742,4.51748455559051,0.0011293724346993974
6000.0,408211.6816776134,6786311.681677613,-0.09493009621391901,6.776131333997279,0.0011293093187553975
8000.0,407885.61491565313,6785985.614915653,-0.08197113278169875,9.03485956421733,0.0011294173347876034
10000.0,408091.35083239153,6786191.3508323915,0.18888947362891578,11.29365819794775,0.001129348340353974
12000.0,408135.9390867278,6786235.939086728,-0.16793645526364825,13.552296102304595,0.0011293329885213367
14000.0,407853.4916115282,6785953.491611528,0.01434113879984495,15.811077760337968,0.0011294264870624542
16000.0,408147.3582697911,6786247.358269791,0.13961663313195524,18.069847648454214,0.001129328159297761
18000.0,408036.4476953959,6786136.447695396,-0.20166528271179956,20.32849883807054,0.001129364562690351
20000.0,407863.2957599107,6785963.295759911,0.10641625461136936,22.58732257908239,0.0011294216821874003
22000.0,408173.85305030644,6786273.853050306,0.05644006869905965,24.846055973418185,0.0011293178006238445
24000.0,407932.4136583535,6786032.4136583535,-0.1881577346601133,27.104741656324137,0.0011293976492492497
26000.0,407908.32425467577,6786008.324254676,0.17241485203430704,29.363588340795932,0.0011294051517333089
28000.0,408160.0761328619,6786260.076132862,-0.040922267021304935,31.622288369521435,0.0011293208447140238
30000.0,407844.31082034577,6785944.310820346,-0.130462555702251,33.88102374879152,0.0011294254332155206
32000.0,407973.41233066283,6786073.412330663,0.19646515656433827,36.139870913605826,0.0011293819441537437
34000.0,408104.9809157122,6786204.980915712,-0.12913143522516884,38.39855087209306,0.0011293376399747362
36000.0,407788.64406464715,6785888.644064647,-0.042570761023690104,40.657341466026786,0.0011294424199058697
38000.0,408038.55905030575,6786138.559050306,0.17301873739129636,42.91616884131763,0.0011293587172213472
40000.0,408017.22694488894,6786117.226944889,-0.1872748882785948,45.174849018085794,0.0011293653049378371
42000.0,407774.2389459815,6785874.2389459815,0.054702423496219274,47.43368944470546,0.0011294456708119435
44000.0,408083.93975546304,6786183.939755463,0.10765223294512748,49.692483625983485,0.0011293420692302788
46000.0,407913.39445899613,6786013.394458996,-0.20155570827711564,51.95118638889657,0.0011293983218184282
48000.0,407800.0717177838,6785900.071717784,0.1382019127215107,54.21006158991576,0.001129435526638497
50000.0,408094.24887293484,6786194.248872935,0.01591436750863836,56.46881932540715,0.001129337093864525
52000.0,407813.77156143263,6785913.771561433,-0.16846826292250305,58.72756391763637,0.001129429937881073
54000.0,407855.59286145493,6785955.592861455,0.1878674444996627,60.98645272330877,0.0011294154996035453
56000.0,408062.64270735066,6786162.642707351,-0.08023298717503764,63.24518166286974,0.0011293460686336658
58000.0,407737.6875917148,6785837.687591715,-0.09607151203567871,65.50397952226426,0.001129453718502957
60000.0,407923.0502679106,6786023.050267911,0.1920731954425892,67.76285981019178,0.0011293914994497578
62000.0,407992.27643141244,6786092.276431412,-0.15798845460247252,70.02157665134938,0.0011293679437441291
64000.0,407698.7949291477,6785798.794929148,-0.0015050854662857112,72.28042875733168,0.0011294651182537391
66000.0,407982.00725289434,6786082.007252894,0.1497400787071272,74.53928260973615,0.0011293703288529457
68000.0,407895.5176431043,6785995.517643104,-0.19877125660588957,76.7980091281409,0.0011293986035346892
70000.0,407701.95654429495,6785801.956544295,0.09259296832795254,79.05690571403669,0.0011294625178357178
72000.0,408013.91120701097,6786113.911207011,0.0709995017139561,81.31572376038964,0.0011293581626204818
74000.0,407791.0009091897,6785891.00090919,-0.19282565158495255,83.57448166080556,0.0011294318460059573
76000.0,407741.9490666762,6785841.949066676,0.1637265517804443,85.83340456292997,0.0011294476562609794
78000.0,408006.8020976819,6786106.802097682,-0.025285557627234997,88.09218819443132,0.0011293589810498685
80000.0,407699.2492376901,6785799.24923769,-0.1417151343465859,90.35099384488596,0.0011294608395860438
